Model,Accuracy,Precision,Recall,F1-Score,CV F1 Mean,CV F1 Std
Logistic Regression,0.8582,0.5,0.1579,0.24,0.3081,0.1154
KNN (k=5),0.8806,0.7143,0.2632,0.3846,0.1778,0.0544
